rok,miasto,dzielnica,na_mapie,w_kronice,razem
2019,DE,Lichtenberg,1,0,1
2019,DE,Mitte,4,0,4
2019,DE,Neukölln,0,1,1
2019,DE,Pankow,0,1,1
2019,DE,Prenzlauer Berg,2,1,3
2019,DE,Spandau,0,1,1
2019,DE,Steglitz-Zehlendorf,0,1,1
2019,DE,Tempelhof,0,1,1
2019,DE,Wedding,2,4,6
2026,DE,Alt-Treptow,1,0,1
2026,DE,Friedrichshain,2,0,2
2026,DE,Gesundbrunnen,1,0,1
2026,DE,Halensee,1,0,1
2026,DE,Kreuzberg,2,0,2
2026,DE,Mitte,1,0,1
2026,DE,Tempelhof,1,0,1
