rok,miasto,aktor,wydarzenie,liczba,zrodlo,kategoria,plik_zrodlowy
1997,PL,OPZZ,demonstracja,4000,Dziennik Trybuna,,frekwencja_warszawa_zwiazki.tsv
1998,PL,OPZZ,demonstracja,3000,Rzeczpospolita,,frekwencja_warszawa_zwiazki.tsv
1998,PL,OPZZ,demonstracja,6000,TPZ,,frekwencja_warszawa_zwiazki.tsv
1998,PL,OPZZ,demonstracja,3000,Życie Warszawy,,frekwencja_warszawa_zwiazki.tsv
1999,PL,OPZZ,demonstracja,5000,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
1999,PL,OPZZ,demonstracja,5000,Rzeczpospolita,,frekwencja_warszawa_zwiazki.tsv
1999,PL,OPZZ,demonstracja,6000,TPZ,,frekwencja_warszawa_zwiazki.tsv
1999,PL,OPZZ,demonstracja,20000,Życie Warszawy,,frekwencja_warszawa_zwiazki.tsv
1999,PL,OPZZ,demonstracja,10000,Dziennik Trybuna,,frekwencja_warszawa_zwiazki.tsv
2000,PL,OPZZ,demonstracja,2000,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
2000,PL,OPZZ,demonstracja,2000,Rzeczpospolita,,frekwencja_warszawa_zwiazki.tsv
2000,PL,OPZZ,demonstracja,3500,TPZ,,frekwencja_warszawa_zwiazki.tsv
2000,PL,OPZZ,demonstracja,1500,Życie Warszawy,,frekwencja_warszawa_zwiazki.tsv
2001,PL,OPZZ,demonstracja,6000,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
2001,PL,OPZZ,demonstracja,6000,Rzeczpospolita,,frekwencja_warszawa_zwiazki.tsv
2001,PL,OPZZ,demonstracja,10000,TPZ,,frekwencja_warszawa_zwiazki.tsv
2001,PL,OPZZ,demonstracja,8000,Dziennik Trybuna,,frekwencja_warszawa_zwiazki.tsv
2002,PL,OPZZ,demonstracja,1000,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
2002,PL,OPZZ,demonstracja,1000,Rzeczpospolita,,frekwencja_warszawa_zwiazki.tsv
2002,PL,OPZZ,demonstracja,4000,TPZ,,frekwencja_warszawa_zwiazki.tsv
2002,PL,OPZZ,demonstracja,2500,Dziennik Trybuna,,frekwencja_warszawa_zwiazki.tsv
2002,PL,OPZZ,demonstracja,2000,Lewica.pl,,frekwencja_warszawa_zwiazki.tsv
2003,PL,OPZZ,demonstracja,5000,Rzeczpospolita,,frekwencja_warszawa_zwiazki.tsv
2003,PL,OPZZ,demonstracja,3000,Wprost,,frekwencja_warszawa_zwiazki.tsv
2003,PL,OPZZ,demonstracja,2000,RMF.FM,,frekwencja_warszawa_zwiazki.tsv
2004,PL,OPZZ,demonstracja,500,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
2004,PL,OPZZ,demonstracja,1000,TPZ,,frekwencja_warszawa_zwiazki.tsv
2004,PL,OPZZ,demonstracja,500,Wprost,,frekwencja_warszawa_zwiazki.tsv
2005,PL,OPZZ,demonstracja,500,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
2005,PL,OPZZ,demonstracja,1000,TPZ,,frekwencja_warszawa_zwiazki.tsv
2005,PL,OPZZ,demonstracja,1000,Dziennik Trybuna,,frekwencja_warszawa_zwiazki.tsv
2005,PL,OPZZ,demonstracja,400,Wprost,,frekwencja_warszawa_zwiazki.tsv
2005,PL,OPZZ,demonstracja,400,PAP,,frekwencja_warszawa_zwiazki.tsv
2005,PL,OPZZ,demonstracja,500,wp.pl,,frekwencja_warszawa_zwiazki.tsv
2006,PL,OPZZ,demonstracja,2000,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
2006,PL,OPZZ,demonstracja,1000,Rzeczpospolita,,frekwencja_warszawa_zwiazki.tsv
2006,PL,OPZZ,demonstracja,2000,Dziennik Trybuna,,frekwencja_warszawa_zwiazki.tsv
2006,PL,OPZZ,demonstracja,2000,NTP,,frekwencja_warszawa_zwiazki.tsv
2007,PL,OPZZ,demonstracja,800,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
2007,PL,OPZZ,demonstracja,2000,TPZ,,frekwencja_warszawa_zwiazki.tsv
2007,PL,OPZZ,demonstracja,2000,Dziennik Trybuna,,frekwencja_warszawa_zwiazki.tsv
2007,PL,OPZZ,demonstracja,800,Lewica.pl,,frekwencja_warszawa_zwiazki.tsv
2008,PL,OPZZ,demonstracja,2000,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
2008,PL,OPZZ,demonstracja,2000,Rzeczpospolita,,frekwencja_warszawa_zwiazki.tsv
2008,PL,OPZZ,demonstracja,2000,TPZ,,frekwencja_warszawa_zwiazki.tsv
2008,PL,OPZZ,demonstracja,2000,Dziennik Trybuna,,frekwencja_warszawa_zwiazki.tsv
2008,PL,OPZZ,demonstracja,2000,Wprost,,frekwencja_warszawa_zwiazki.tsv
2008,PL,OPZZ,demonstracja,3000,Lewica.pl,,frekwencja_warszawa_zwiazki.tsv
2009,PL,OPZZ,demonstracja,1000,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
2009,PL,OPZZ,demonstracja,500,Rzeczpospolita,,frekwencja_warszawa_zwiazki.tsv
2009,PL,OPZZ,demonstracja,1000,TPZ,,frekwencja_warszawa_zwiazki.tsv
