rok,godzina_od,godzina_do,dzielnica,dzielnice_wszystkie,aktor_zgadniety,sekcja,tekst,wiersz_zrodlowy
1994,11:00,,,,ÖTV,Scenariusz,"Die zentrale Gewerkschaftskundgebung beginnt um 11 Uhr im Lustgarten am Berliner Dom. In drei Zügen werden sich Gewerkschafter vom ÖTV-Haus (Engeldamm, 9.30 Uhr), IG-Metall-Haus (Alte Jakobstraße, 9.30) und vom Haus der Gewerkschaften (Wallstraße 9 45) zum Kundgebungsplatz begeben. Die einzelnen Gewerkschaften haben ihre Stände aufgestellt, ein Kulturprogramm wird das Fest umrahmen.",2496
1994,11:00,,,,,Scenariusz,11:00 – Lustgarten trade union rally,2527
1994,12:00,,Friedrichshain,Friedrichshain;Lichtenberg,PDS,Scenariusz,"Die PDS von Friedrichshain und Lichtenberg begrüßen ihre Gäste ab 12 Uhr vor und im ND-Gebäude am Franz-Mehring-Platz 1. Dabei sind Prof. Dr Christa Luft, der Regisseur Günter Reisch, ein Ensemble aus Wünsdorf, der Ernst-Busch-Chor, Zauberer, Puppenspieler und Musikanten.",2504
1994,12:00,,Friedrichshain,Friedrichshain;Lichtenberg,PDS,Scenariusz,"12:00 – PDS z Friedrichshain i Lichtenberg zapraszają do budynku ND na Frank-Mehring Platz. Wśród gości Christa Luft, Günter Reisch, zespół z Wünsdorf i innr atrakcje (nd 27.04)",2530
1994,12:30,,,,,Scenariusz,"Demo startet am 1. Mai um 12.30 Uhr vom Altonaer Bahnhof zu Planten un Blomen. Parallel dazu gibt es am Fernsehturm eine Veranstaltung des Internationalen Blocks. Weitere Aktionen finden in Bergedorf und Harburg statt, Treffpunkte sind 9.30 Uhr auf dem Lohbrügger Markt und um 10 Uhr auf dem Sand in Harburg. (taz 26.04.1994)",2522
1994,13:00,,Kreuzberg,Kreuzberg,,Scenariusz,"Um 13 Uhr beginnt auf dem Oranienplatz in Kreuzberg das internationalistische Straßenfest. Unter anderem wird dort kurdische, afrikanische und russische Musik zu hören sein.",2506
1994,13:00,,,,,Scenariusz,"13:00 – RIM. Die Demo führte zum Brandenburger Tor, es nahmen anfangs knapp 1000, später nur noch einige hundert Menschen daran teil. @gluckspilzArchiv1MaiBerlin2000.",2529
1994,13:00,,,,,Scenariusz,"13:00 – Oranienplatz, internationalistisches Strassenfest (nd 27.04.94)",2531
1994,13:15,,,,,Scenariusz,13:15 Demonstracja Marchstrasse 23- UBahn Ernst Reuter Platz Walpurgisnacht,2512
1994,14:00,,Köpenick,Köpenick;Pankow,SPD,Scenariusz,"14:00 – Volksfest SPD w Köpenick, Schlosshof SPD i Pankow, Breite Strasse (BZ 28.04.1994)",2532
1994,14:00,,,,,Scenariusz,14:00-18:00 Oberseepark am Wasserturm;,2533
1994,14:00,,,,,Scenariusz,14:00 – Demokraten für Deutschland organizują spotkanie pod hasłem Vollendung der Einheit und für den sofortigen Regierungsumzug nach Berlin. Towarzyszy temu parada samochodowa z Grünewald do Strausberger Platz ??? eastwest,2535
1994,14:00,,,,SPD,Scenariusz,14:00-18:00 – SPD z Hochenschönhauser robi własny Maifeier w Orankebad (nd 27.04),2536
1994,14:00,,,,PDS,Scenariusz,14:00-18:00 – Köpenicker PDS lädt ein zu einer Maifeier im Luisenhain von 14 bis 18 Uhr. (nd 27.04),2537
